intervention_id,cycle_id,organization_id,indicator_id,plan_fiscal_year,change_idea_raw,change_idea_normalized,association_status,association_review,primary_category,secondary_tags,classification_method,classification_rule_used,classification_confidence,classification_reason,taxonomy_version,classification_evidence,override_reason,classification_review,workplan_source_ids,progress_source_ids,planned_methods_raw,process_measures_raw,process_targets_raw,workplan_comments_raw,implementation_status,implementation_flags_raw,implementation_notes_raw,progress_comments_raw,outcome_reference,analysis_eligible,analysis_exclusion_reason
intervention_a2bc53d3a919c5d13914,cycle_036d51a87d3ac41a678e,org_004976c32c109a2a,ind_5b2e1352e31909e8,2025/26,Focus on patient flow and placement in collaboration with Inpatient Unit and Hospitalists.,Focus on patient flow and placement in collaboration with Inpatient Unit and Hospitalists.,workplan_and_progress,source_exact_idea,Care Coordination & Communication,[],rule,"[""collaboration""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Care Coordination & Communication"":[""\\bcollaborat\\w*\\b|\\bpartnership\\w*\\b|\\bcase management\\b|\\bpatient navigat\\w*\\b""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_765""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_668""]","[""Initiate: - Charge Nurse (CN) huddles twice daily - Utilize hallway beds when required - Prioritize early discharge identification""]","[""1. Count of admitted patients in the ED at 0800 daily 2. Count of hallway beds utilized at 0800 3. Percentage of time there are 2 or less patients admitted in the ED at 0800""]","[""1. Collecting baseline 2. Collecting baseline 3. 75%""]","[""Utilize Safety Cross""]",Not implemented,"[""N""]","[""LACGH implemented twice daily Charge RN huddles and an overcapacity protocol in 2025 to focus on improving timely flow of patients from the ED to inpatient units. The target was set for 2.28 patients and has improved to 1.86 YTD for the 2025-2026 year.\nLACGH was also able to exceed our target of <15 days for average number of days hallway beds were used in ED, with an average of 5.44 days per month hallway beds used""]","[""LACGH will continue to work at improving frequency of Charge RN huddles in 26-27, while also focusing on making improvements in bed availability through early discharge and ALC Census and throughput improvements""]","cycle_id; shared outcome, not independent intervention evidence",false,reporting_period_unverified
intervention_48667088439f0902d893,cycle_0a9639a18a957550b7d4,org_004976c32c109a2a,ind_67ee717abbe20a1b,2024/25,Improve the consistency in the use of PODs,Improve the consistency in the use of PODs,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_666""]",[],"[""Improve staff education resources and opportunities related to PODS for current and new staff.""]","[""1. Percentage of patients who were discharged who received a PODS 2. Staff education to be included at orientation/onboarding 3. Implement a PODS learning module on Moodle""]","[""1. 80% of patients who were discharged received the PODS by November 2024 2. PODS education to be accessible on Moodle by May 2024 3. 100% of staff received PODS education by October 2024""]","[""Implementation risk as new HIS will be implemented in Dec 2024""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_9decf1af94b10d5fc278,cycle_52ba97cd86551f02e733,org_004976c32c109a2a,ind_67ee717abbe20a1b,2025/26,Focus on patient education,Focus on patient education,workplan_only,source_exact_idea,Training & Education,[],rule,"[""v1:Training & Education:\\beducat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Training & Education"":[""\\beducat\\w*""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_754""]",[],"[""- Completion of PODS discharge summary for all patients - Utilize education materials in Cerner - Round on patients who are readmitted within 7 days""]","[""1. Count of of Patients receiving PODS on D/C 2. Count of Patients admitted within 7 days who are rounded on 3. Percentage of patients who respond they received enough information through D/C phone surveys 4. Percentage of discharged patients who receive PODS""]","[""1. Collecting baseline 2. Collecting baseline 3. 100% 4. 100%""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_ad38786b1dd724fa2be2,cycle_0b546e286246055d5a75,org_004976c32c109a2a,ind_7ebd4762b8a6c688,2025/26,"1. Deployment of Catalysis QI Project 2. Leverage ED roles (Charge Nurse (CN), Triage Nurse and ED Physician) to promote CTAS 2 ED flow","1. Deployment of Catalysis QI Project 2. Leverage ED roles (Charge Nurse (CN), Triage Nurse and ED Physician) to promote CTAS 2 ED flow",workplan_only,source_exact_idea,Patient Streaming / Triage,"[""Emergency Department Workflow""]",rule,"[""v1:Emergency Department Workflow:\\bED flow\\b"",""v1:Patient Streaming / Triage:\\btriage\\b"",""v1:Patient Streaming / Triage:\\bCTAS\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Emergency Department Workflow"":[""\\bED flow\\b""],""Patient Streaming / Triage"":[""\\btriage\\b"",""\\bCTAS\\b""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_763""]",[],"[""We will be taking a multifaceted approach - CN, Triage Nurse, & ED Physician huddle to develop early care plans for CTAS 2 patients - Triage Nurse to utilize comment section of new HIS to document/ highlight concerns - Staff to complete education regarding assigning CTAS if higher or lower level required - Leverage the Catalysis Project to help identify delays in discharge processes""]","[""1. Percentage of staff that have received CTAS education 2. Number of CTAS 2 patients meeting LOS target of 7 hours""]","[""1. 100% by October 2025 2. Collecting baseline""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous
intervention_de5aa225a61fc7bd4d6b,cycle_c7eab336f18f1bbcf2fb,org_004976c32c109a2a,ind_a8f6cca5fe8befdf,2025/26,Focus on staff education and data monitoring.,Focus on staff education and data monitoring.,workplan_only,source_exact_idea,Training & Education,[],rule,"[""v1:Training & Education:\\beducat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Training & Education"":[""\\beducat\\w*""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_759""]",[],"[""- Completion of CAM - Staff education regarding Prevention of Delirium""]","[""1. Count of patients who are identified as having a positive CAM 2. Percentage of staff educated regarding Delirium Prevention 3. Percentage of patients developing Delirium within 24 hours of admission""]","[""1. Collecting baseline 2. 100% by December 2025 3. Collecting baseline""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_596ed49a510b3f244aad,cycle_9615db292a317e211200,org_004976c32c109a2a,ind_c88639d5b7683c20,2024/25,"All staff will assess patient's skin for pressure areas daily, document any changes, and make appropriate referrals.","All staff will assess patient's skin for pressure areas daily, document any changes, and make appropriate referrals.",workplan_and_progress,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_674""]","[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_570""]","[""1. Any resident with a pressure injury (PI) will have a photo on their chart as part of their PI assessment 2. Braden Score <12 will automatically generate a consult to OT/ dietician 3. Liners in incontinent product will be removed 4. Chart audits will be completed monthly and updated on the weekly risk manager summary""]","[""1. Percentage of residents that have a skin assessment documented daily 2. Percentage of residents with a PI that have a photo on record 3. The removal of liners in incontinent products and from supply carts will be completed 4. Count of months that the chart audits are completed.""]","[""1. 100% of residents will have a skin assessment documented daily 2. 100% of residents with a PI has a photo on record 3. Liners in incontinent product will be removed by July 2024 4. 12/12 months chart audits for PIs will be completed.""]","[""If achieved, patient's will be able to agree with the statement: Staff checked on my skin to make sure it was healthy, or make sure I had the right wound treatment, while I was in CVC.""]",Implemented,"[""Y""]","[""1. 87% of residents had a skin assessment documented daily 2. 93% of residents YTD with a PI had a photo on record with 100% of patients since December 2024 3. Liners in incontinent product were removed by April 2024 4. 12 chart audits for PIs were completed 3/12 months. CVC implemented a new Point Click Care module that helps with capturing PI data.""]","[""""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_49a7c58bc648c8a20028,cycle_5253ad9bdb2d5256e177,org_004976c32c109a2a,ind_cd57992e4ca687e8,2024/25,Improve consistency of follow-up when a delay to LTC occurs.,Improve consistency of follow-up when a delay to LTC occurs.,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_668""]",[],"[""All ALC patients will be offered a Home First meeting as first option for discharge.""]","[""1. Count of number of delayed transfers to LTC per month 2. Percentage of patients designated ALC with delayed transfers to LTC that have a follow up review completed. 3. Percentage of patients designated ALC with a Home First meeting documented""]","[""1. Collect baseline of number of delayed transfers to LTC per month. 2. 100% of patients designated ALC with delayed transfers to LTC will have a follow up review completed. 3. 100% of patients designated ALC with a Home First meeting documented.""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_0be6ab44fc1e339460c4,cycle_5253ad9bdb2d5256e177,org_004976c32c109a2a,ind_cd57992e4ca687e8,2024/25,Mitigate functional decline of patients designated ALC.,Mitigate functional decline of patients designated ALC.,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_669""]",[],"[""Facilitate an \""up to eat\"" protocol at least twice per day for patients designated ALC.""]","[""1. Percentage of patients who have been \""up to eat\"" at least twice per day who meet eligibility criteria. 2. Percentage of patients who have experienced a functional decline while in hospital""]","[""1. >80% of eligible patients have been \""up to eat\"" at least twice per day 2. <5% of patients frailty score will decrease while in hospital as calculated by the fraility score.""]","[""If achieved, patient's will be able to agree with the statement: My ability to participate in the activities of daily living did not get worse because I was living in the Hospital.""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_e0a5f06df902fcd1e74a,cycle_2675e9372c713b886280,org_004976c32c109a2a,ind_dd27b495d4655058,2025/26,Utilize Sepsis Indicator to drive improvement,Utilize Sepsis Indicator to drive improvement,workplan_and_progress,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_767""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_669""]","[""- Review quarterly revisits data for adult sepsis - Provide staff with education regarding sepsis Early Warning Signs - Educate staff on Goal Directed Treatment""]","[""1. Percentage of sepsis reviews completed quarterly 2. Percentage of staff completing education 3. Count of recommendations from reviews implemented""]","[""1. 100% 2. 100% by November 2025 3. Collecting Baseline""]","[""""]",Implemented,"[""Y""]","[""All return visits for sepsis were reviewed as part of LACGH's audits for the EDRVQP to determine where improvements could be made\nStaff education on Sepsis and Shock was completed in November 2025 through just in time training on the units.""]","[""LACGH will continue annual education for staff on Sepsis and recognition of deteriorating patients. We will continue to audit return visits for Adult Sepsis as part of the EDRVQP.""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_6c2dcae4d9a376943d92,cycle_58a4dd9846176bd4eeb6,org_004976c32c109a2a,ind_e666bcb709405e0f,2025/26,We will focus on flow for lower acuity patients and implement a daily fast track pathway.,We will focus on flow for lower acuity patients and implement a daily fast track pathway.,workplan_only,source_exact_idea,Patient Streaming / Triage,[],rule,"[""v1:Patient Streaming / Triage:\\bfast.track\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Patient Streaming / Triage"":[""\\bfast.track\\b""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_762""]",[],"[""1. Charge Nurse (CN) to identify a fast track area suitable for 4 spaces daily at huddles 2. CN will identify a fast track assignment for nursing staff on a daily basis 3. Physicians will complete scheduling optimization from 1300-1500 and 1800-2000 to promote fast track utilization PA to focus on fast track""]","[""1. Count of days per month fast track utilized from 1300-1500 and 1800-2000 daily 2. Count of days fast track does not have a MRP assigned""]","[""1. Collecting Baseline 2. Collecting Baseline""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous
intervention_d54ac26d11aabadc101e,cycle_84deca07a35320a986aa,org_004976c32c109a2a,ind_e7cd9b5804f1c518,2025/26,Optimize Physician scheduling in the ED,Optimize Physician scheduling in the ED,workplan_and_progress,source_exact_idea,Staffing & Scheduling,[],rule,"[""v1:Staffing & Scheduling:\\bschedul(?:e|es|ing)\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Staffing & Scheduling"":[""\\bschedul(?:e|es|ing)\\b""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_764""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_667""]","[""Implementation of: - Overlapping physician coverage daily from 1300-1500 and 1800-2000 - Daily utilization of Fast Track area - Direction for the Physician Assistant to focus on lower acuity patients - Leverage Catalysis to assist with ED work flow""]","[""1. Count of days per month fast track utilized 2. Count of days fast track does not have a MRP assigned 3. Percentage of patients with a PIA of 4 hours or less""]","[""1. Collecting baseline 2. Collecting baseline 3. 80%""]","[""Utilize a safety cross""]",Not implemented,"[""N""]","[""LACGH was not able to implement process measures 1-3 due to physical space and staffing constraints as well as inability to pull data from the newly implemented regional Cerner HIS\nPhysician schedules were optimized through the implementation of 8 additional hours of ED MD coverage in the ED 7 days per week, with focus on overlapping of MD hours during high volume times.""]","[""LACGH will continue to optimize Physician Scheduling in the 26-27 QIP while optimizing overlap with PIA scheduling to ensure both high and low acuity patients are seen by the correct provider and in the correct location""]","cycle_id; shared outcome, not independent intervention evidence",false,reporting_period_unverified
intervention_3c82cfecc73decfdf3dc,cycle_9a71448d549efdc02a5b,org_004976c32c109a2a,ind_ee70b593aad3e4f6,2024/25,Change Nurse to facilitate ambulance offload flow.,Change Nurse to facilitate ambulance offload flow.,workplan_only,source_exact_idea,Ambulance / EMS Flow,[],rule,"[""v1:Ambulance / EMS Flow:\\bambulance\\b"",""v1:Ambulance / EMS Flow:\\boffload\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Ambulance / EMS Flow"":[""\\bambulance\\b"",""\\boffload\\w*""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_667""]",[],"[""Apply “fit to sit” criteria to offload appropriate patients.""]","[""1. Develop Fit to Sit criteria 2. Provide staff education regarding Fit to Sit protocol by October 2024 3. Count of times offload Paramedic is on-site due to offload delays""]","[""1. Develop Fit to Sit criteria by July 2024 2. Provide staff education regarding Fit to Sit protocol by October 2024 3. # of times offload Paramedic on site due to offload delays does not exceed 4 (baseline 0)""]","[""If achieved, patient's will be able to agree with the statement: I didn't have to wait too long to move from the ambulance stretcher to my bed/chair in the emergency room.""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,insufficient first-cycle ED longitudinal coverage
