intervention_id,current_plan_group_id,organization_id,indicator_id,plan_fiscal_year,change_idea_raw,change_idea_normalized,association_status,association_review,primary_category,secondary_tags,classification_method,classification_rule_used,classification_confidence,classification_reason,taxonomy_version,classification_evidence,override_reason,classification_review,workplan_source_ids,progress_source_ids,planned_methods_raw,process_measures_raw,process_targets_raw,workplan_comments_raw
current_ae4a6a0e2ad311de9c17,current_group_a54bd2ff4fc235f49171,org_004976c32c109a2a,ind_e666bcb709405e0f,2026/27,"LACGH will establish a ""Return Visit"" program, targeted at decreasing patients presenting to the ED for antibiotics or imaging results. These patients have already been seen by a physician the day prior and are known to be returning for results/ therapies, therefore planning for these visits can decrease the time spent waiting.","LACGH will establish a ""Return Visit"" program, targeted at decreasing patients presenting to the ED for antibiotics or imaging results. These patients have already been seen by a physician the day prior and are known to be returning for results/ therapies, therefore planning for these visits can decrease the time spent waiting.",workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_799""]",[],"[""Patients returning for IV antibiotics will be given a specified time to return to the ED for therapy. That patient will be booked in Cerner in the pre-arrivals so the next days staff are aware. The charge RN will review the pre-arrivals each morning and coordinate a chair for these patients to be seen, and the triage nurse will bring them directly to the chair instead of sending to the wait room. The return visits for imaging will work in a similar fashion, with the DI clerk notifying the ED charge when their imaging appointment as been booked, and the ED Charge completing a pre-arrival for the patient. The PA will see the patients with straightforward results for discharge, and the MD will see the patients requiring further work up or admission.""]","[""1. Average length of stay for patients with the CEDIS complaint of \""Return Visit for Therapy\"" 2. Average length of stay for patients with the CEDIS complaint of \""Imagine/Test Results\""""]","[""1. Average length of stay for Return Visit for Therapy patients will be <2 hours by March 2027 2. Average length of stay for Return Visit for Imaging patients will be <3.5 hours by March 2027""]","[""""]"
current_9b0b1809c1bcca3b27d2,current_group_a54bd2ff4fc235f49171,org_004976c32c109a2a,ind_e666bcb709405e0f,2026/27,LACGH will optimize the use of our Physician Assistant to target LOS of low acuity patients.,LACGH will optimize the use of our Physician Assistant to target LOS of low acuity patients.,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_798""]",[],"[""The Physician Assistant will work 0900-1700, Monday- Friday and focus on seeing CTAS 3-5 patients. They will work in collaboration with the Triage RN and Charge RN. The Triage RN will flag appropriate patients for the PA to see to reduce the time spent reviewing charts, and the Charge RN will organize patient flow to allow for dedicated spaces for the PA to see low acuity patients quickly""]","[""Average Number of low acuity patients seen and discharged by the PA per shift""]","[""The PA will see an average of 16 or greater patients per shift worked by March 2027""]","[""""]"
current_01a2ab3574c191aa55dd,current_group_3a91a658d7d92c895f2b,org_004976c32c109a2a,ind_e7cd9b5804f1c518,2026/27,We will improve patients wait time to to Physician Initial Assessment by expanding the number of providers available to see patients during high volume times of day,We will improve patients wait time to to Physician Initial Assessment by expanding the number of providers available to see patients during high volume times of day,workplan_only,source_exact_idea,Emergency Department Workflow,[],rule,"[""v1:Emergency Department Workflow:\\bphysician initial assessment\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Emergency Department Workflow"":[""\\bphysician initial assessment\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_801""]",[],"[""We have recently expanded our Physician hours by 8 hours daily and hired a Physician Assistant from 0900-1700 Monday- Friday. We aim to ensure the new physician shift is always staffed and focuses on seeing high acuity patients, while the PA focuses on improving PIA times for low acuity patients""]","[""1. % of 1200-2000 ED MD shifts filled 2. Average Number of low acuity patients seen by PA per shift""]","[""1. 100% of 1200-2000 ED MD shifts will be filled by March 2027 2. The PA will see an average of 16 low acuity patients per shift by March 2027""]","[""""]"
current_77595f27d435e6de9e87,current_group_3a91a658d7d92c895f2b,org_004976c32c109a2a,ind_e7cd9b5804f1c518,2026/27,We will optimize patient flow and bed space by improving communication between Charge RNs and Emergency Department MDs,We will optimize patient flow and bed space by improving communication between Charge RNs and Emergency Department MDs,workplan_only,source_exact_idea,Care Coordination & Communication,[],rule,"[""v1:Care Coordination & Communication:\\bcommunicat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Care Coordination & Communication"":[""\\bcommunicat\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_802""]",[],"[""The Charge RN and ED MD will huddle four times daily to review department flow and capacity, plan for bed space and assess patients for discharge""]","[""1. Percentage of Charge RN/ED MD huddles that occur each month""]","[""1. Charge RNs and ED MDs will complete 80% of huddles each month by March 2027""]","[""""]"
current_da73ce89ddc9e558c26b,current_group_d6d67e67ac639237d922,org_004976c32c109a2a,ind_ee70b593aad3e4f6,2026/27,"Improve accuracy of data being captured and submitted for Ambulance Offload Time. The value being pulled until December 2025 was incorrect, so we need to ensure that the appropriate data continues to be captured going forward","Improve accuracy of data being captured and submitted for Ambulance Offload Time. The value being pulled until December 2025 was incorrect, so we need to ensure that the appropriate data continues to be captured going forward",workplan_only,source_exact_idea,Ambulance / EMS Flow,[],rule,"[""v1:Ambulance / EMS Flow:\\bambulance\\b"",""v1:Ambulance / EMS Flow:\\boffload\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Ambulance / EMS Flow"":[""\\bambulance\\b"",""\\boffload\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_791""]",[],"[""Educate Nursing and Clerical staff on the new process for capturing the Ambulance Offload Time. ED nurses are to capture the time in bed in the comments to the Clerks, who then input this into the Ambulance Offload Time value.""]","[""Percentage of ED Nursing and Clerical Staff educated on Ambulance Offload data capture process""]","[""100% of ED Nursing and Clerical Staff will receive education on data capture process by June 2026.""]","[""""]"
current_66aba5cd71ae15ad0f2d,current_group_d6d67e67ac639237d922,org_004976c32c109a2a,ind_ee70b593aad3e4f6,2026/27,"Increase the number of RNs trained to perform Ambulance Triage. When reviewing factors that lead to increased offload time at LACGH, a significant contributor was waiting for a triage trained RN to be available to triage and handover care. By increasing the number of RN staff that can Triage, we will increase the number of RNs able to offload ambulances.","Increase the number of RNs trained to perform Ambulance Triage. When reviewing factors that lead to increased offload time at LACGH, a significant contributor was waiting for a triage trained RN to be available to triage and handover care. By increasing the number of RN staff that can Triage, we will increase the number of RNs able to offload ambulances.",workplan_only,source_exact_idea,Ambulance / EMS Flow,"[""Training & Education"",""Patient Streaming / Triage""]",rule,"[""v1:Training & Education:\\btrain(?:ing|ed)\\b"",""v1:Ambulance / EMS Flow:\\bambulance\\b"",""v1:Ambulance / EMS Flow:\\boffload\\w*"",""v1:Patient Streaming / Triage:\\btriage\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Ambulance / EMS Flow"":[""\\bambulance\\b"",""\\boffload\\w*""],""Patient Streaming / Triage"":[""\\btriage\\b""],""Training & Education"":[""\\btrain(?:ing|ed)\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_790""]",[],"[""Complete CTAS certification for all new graduates 1 year post hire. These newly trained RNs may not be able to do the full triage role, but would receive training to triage ambulances only.""]","[""Percentage of Emergency Department RNs who have CTAS Certification""]","[""90% of Emergency Department RNs will have CTAS Certification by March 2027""]","[""This initiative will utilize our in house CTAS trainer for Certification, and our Clinical Educator for at the elbow teaching and support.""]"
current_3122e32b2193d84780df,current_group_705eaba88d1207755fdc,org_004976c32c109a2a,ind_ef4a9573ead4ee92,2026/27,"We will improve wait time to inpatient bed by improving processes for pulling patients to the Acute Care and Intensive Care Units, focused on removing waste and streamlining communication.","We will improve wait time to inpatient bed by improving processes for pulling patients to the Acute Care and Intensive Care Units, focused on removing waste and streamlining communication.",workplan_only,source_exact_idea,Care Coordination & Communication,[],rule,"[""v1:Care Coordination & Communication:\\bcommunicat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Care Coordination & Communication"":[""\\bcommunicat\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_792""]",[],"[""We will create standard work for inpatient admissions, including admission protocols and standard work. This will include handover tools to standardize communication, as well as strategies to remove waste, such as having the receiving nurse porter the patient, eliminating time spent coordinating charge RN time to porter patients.""]","[""1. Pull times to ACU 2. Pull times to ICU""]","[""1. We will decrease pull times to ACU to <8 hours by March 2027 2. We will decrease pull times to ICU to <90 minutes by March 2027""]","[""""]"
current_3b9fc26accb1711db8be,current_group_f68511a38484c56e688f,org_004976c32c109a2a,ind_f197a93604c302d2,2026/27,Improve Communication between Emergency Department and Inpatient Units to allow for early notification of admissions and interdepartmental care planning to ensure patients are moved to the right care areas as quickly as possible.,Improve Communication between Emergency Department and Inpatient Units to allow for early notification of admissions and interdepartmental care planning to ensure patients are moved to the right care areas as quickly as possible.,workplan_only,source_exact_idea,Admission & Transfer Process,"[""Care Coordination & Communication""]",rule,"[""v1:Admission & Transfer Process:\\badmission\\w*"",""v1:Care Coordination & Communication:\\bcommunicat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Admission & Transfer Process"":[""\\badmission\\w*""],""Care Coordination & Communication"":[""\\bcommunicat\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_804""]",[],"[""Optimize twice daily charge huddles. The ACU RN will attend ED for huddle at 0800 and the ED RN will attend the ACU for huddle at 1530 daily. A standard script will be followed indicating number of confirmed/ planned admits, number of potential discharges, and barriers to flow.""]","[""1. Percentage of days 0800 huddle occurs 2. Percentage of days 1530 huddle occurs""]","[""0800 and 1530 huddles will occur 80% of days. This target is to aim at improving current performance while also accounting for dates that critical care issues or staffing issues may prevent the huddles from occurring""]","[""""]"
current_fad9fd41ba63cae97484,current_group_f68511a38484c56e688f,org_004976c32c109a2a,ind_f197a93604c302d2,2026/27,We will decrease ED length of stay for admitted patients by targeting factors that increase bed census,We will decrease ED length of stay for admitted patients by targeting factors that increase bed census,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_805""]",[],"[""1.We will implement an ALC designation process to ensure that all Home First Initiatives are considered prior to ALC designation 2.We will create a support pathway for staff to implement prior to potential ALC admissions 3. We will implement a mobility program to prevent patient deconditioning during hospital admission""]","[""1. Average ALC Census 2. ALC Throughput Rate""]","[""1. We will have an Average ALC Census of <12 patients by March 2027 2. We will have an ALC Throughput Rate of >1.0 by March 2027""]","[""""]"
current_882987ba7b1998b9a344,current_group_b20e42df3360e50821b7,org_01f7d38f0c7f1cff,ind_0646035afd9bba7c,2026/27,"• Standardize the medication reconciliation process across both campuses of Windsor Regional Hospital • Utilize the electronic health information system with identified reporting responsibilities for nursing, physicians (ED and MRP) and pharmacists/pharmacist technicians.","• Standardize the medication reconciliation process across both campuses of Windsor Regional Hospital • Utilize the electronic health information system with identified reporting responsibilities for nursing, physicians (ED and MRP) and pharmacists/pharmacist technicians.",workplan_only,source_exact_idea,Technology & Digital Tools,"[""Policy / Standardization""]",rule,"[""v1:Technology & Digital Tools:\\belectronic\\b"",""v1:Policy / Standardization:\\bstandardiz\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Policy / Standardization"":[""\\bstandardiz\\w*""],""Technology & Digital Tools"":[""\\belectronic\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_870""]",[],"[""• On a weekly and monthly basis, audit the compliance and accuracy of the medication reconciliation process completed on all patients at discharge""]","[""% of patients with medication reconciliation is completed at discharge.""]","[""96% of patients have a medication reconciliation at discharge.""]","[""""]"
current_4935b72320bfe87134fd,current_group_4d9e7975d11421122dce,org_01f7d38f0c7f1cff,ind_06590f50f65eac7e,2026/27,"• Utilize the Physician Initial Assessment (PIA) action plan to improve left without being seen (LWBS) volume • Newly created left without being seen policy and standard work will help support improvement initiatives • Utilize the Emergency Department QI Coordinator positions to target improved PIA improvements and delays in length of stay overall impacting a decrease in LWBS • Continue successful diversion strategies with partner departments and organizations e.g. Nurse Police Team (NPT), Paediatric Emergency Diversion Clinic, Mental Health Assessment Unit (MHAU), and the Nurse Lead Outreach Team (NLOT).","• Utilize the Physician Initial Assessment (PIA) action plan to improve left without being seen (LWBS) volume • Newly created left without being seen policy and standard work will help support improvement initiatives • Utilize the Emergency Department QI Coordinator positions to target improved PIA improvements and delays in length of stay overall impacting a decrease in LWBS • Continue successful diversion strategies with partner departments and organizations e.g. Nurse Police Team (NPT), Paediatric Emergency Diversion Clinic, Mental Health Assessment Unit (MHAU), and the Nurse Lead Outreach Team (NLOT).",workplan_only,source_exact_idea,Emergency Department Workflow,"[""Care Coordination & Communication"",""Policy / Standardization""]",rule,"[""v1:Emergency Department Workflow:\\bphysician initial assessment\\b"",""v1:Emergency Department Workflow:\\bPIA\\b"",""v1:Care Coordination & Communication:\\bcoordinat\\w*"",""v1:Policy / Standardization:\\bpolic(?:y|ies)\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Care Coordination & Communication"":[""\\bcoordinat\\w*""],""Emergency Department Workflow"":[""\\bphysician initial assessment\\b"",""\\bPIA\\b""],""Policy / Standardization"":[""\\bpolic(?:y|ies)\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_874""]",[],"[""• Daily monitoring of emergency department data • Ensure quality assurance through weekly Emergency Department leadership meetings • Daily/weekly monitoring of diversion strategy metrics in consultation with partner departments and organizations.""]","[""Daily, weekly and monthly reporting of results through various teams and committees""]","[""Target set at 7.1%""]","[""""]"
current_30e8fc46a615e9695aa3,current_group_a895772c533c4f713c3a,org_01f7d38f0c7f1cff,ind_21977806f701e279,2026/27,"• Implement Ontario Health Hip Fracture Quality Standards including: Suspected hip fractures diagnosed within 1 hour of arriving to hospital where preparation for surgery is initiated and patient is admitted and transferred to a bed in an inpatient unit within 8 hours; Individuals with a hip fracture receive surgery as soon as possible within 48 hours of their first arrival; Individuals with suspected hip fracture have their pain assessed within 30 minutes of arriving to hospital and pain managed using a multimodal approach; Specific interventions for stable intertrochanteric fractures, surgery for subtrochanteric or unstable intertrochanteric fractures; and surgery for displaced intracapsular fractures and post operative blood transfusions, in addition, to various initiatives post surgery.","• Implement Ontario Health Hip Fracture Quality Standards including: Suspected hip fractures diagnosed within 1 hour of arriving to hospital where preparation for surgery is initiated and patient is admitted and transferred to a bed in an inpatient unit within 8 hours; Individuals with a hip fracture receive surgery as soon as possible within 48 hours of their first arrival; Individuals with suspected hip fracture have their pain assessed within 30 minutes of arriving to hospital and pain managed using a multimodal approach; Specific interventions for stable intertrochanteric fractures, surgery for subtrochanteric or unstable intertrochanteric fractures; and surgery for displaced intracapsular fractures and post operative blood transfusions, in addition, to various initiatives post surgery.",workplan_only,source_exact_idea,Admission & Transfer Process,[],rule,"[""v1:Admission & Transfer Process:\\btransfer\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Admission & Transfer Process"":[""\\btransfer\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_878""]",[],"[""• Daily proactive reporting and review of all patients admitted with a hip fracture and removal of process barriers • Weekly reporting on all hip fracture patients not meeting target, with the reason for delay documented and trended • Weekly reporting of trends by campus • Monthly reporting to the OR Committee and OR Executive Committee of the percentage of hip fracture patients sent to the OR within 48 hours • Refinement of current pre-operative power plan for fracture hips to support targeted interventions towards timely treatment for our patients • Development of the hip fracture scorecard for multidisciplinary team to track progress and action plans and interventions.""]","[""• Daily, weekly and monthly monitoring of the following indicators: Time to Diagnosis; Time to ED pain assessment; Time to orthopedic consult; Time to Internal Medicine consult; Admit to Bed Time; Time to medical clearance for surgery; overall inpatient length of stay (LOS); and 7 day readmission rate • Review documentation and trend results for reasons for delay""]","[""• Target set at 81.5% hip fracture surgery completed within 48 hours of admission • Other metrics to monitor and track include: ED Diagnosis within 1 hour of arrival; ED pain assessment within 30 minutes of arrival; Time to orthopedic consult within 8 hours; Time to internal medicine consult = 8 hrs.; Admit to Bed Time within 8 hours.; Time to medical clearance for surgery within 24 hours; Total length of stay within 7 days; 7 day readmission rate less than 4%.""]","[""""]"
